Member Name,Group Name,Rank
Sujeong,Lovelyz,14
Kei,Lovelyz,15
Gyuri,KARA,16
Yujeong,Laboum,17
Taeha,Berry Good,18
Solji,EXID,19
Sori,soloist,20
Yoon,Stayc,1
Monday,Weeekly,2
Tsuki,Billlie,3
Aisha,Everglow,4
Momoka,Pink Fantasy,5
Jo Yuri,soloist,6
Suyun,Rocket Punch,7
Dajeong,Pixy,8
Minju,soloist,9
Bora,Cherry Bullet,10
Yebin,Hot Issue,11
Dayoung,WJSN,12
Yuki,Purple Kiss,13
Ireh,Purple Kiss,14
Yeji,ITZY,15
Jiae,soloist,16
Chaeryeong,ITZY,17
Luda,WJSN,18
Yeojin,Loona,19
Hyunjin,Loona,20
Sori,soloist,1
Yuqi,(G)I-DLE,2
Monday,Weeekly,3
Chaeryeong,ITZY,4
Juri,Rocket Punch,5
Hyomin,T-ARA,6
Chaein,Purple Kiss,7
Haru,Nature,8
Sana,TWICE,9
Dayoung,WJSN,10
JooE,Momoland,11
Minyoung,Brave Girls,12
Aisha,Everglow,13
Mijoo,Lovelyz,14
Nayoung,fromis_9,15
Dia,PIXY,16
BoA,soloist,17
Ailee,soloist,18
Sora,woo!ah!,19
Youha,soloist,20
IU,soloist,1
Taeyeon,SNSD,2
Moonbyul,Mamamoo,3
Megan,fromis_9,4
Wonyoung,IVE,5
Jiho,OH MY GIRL,6
Haseul,Loona,7
Yooa,OH MY GIRL,8
Arin,OH MY GIRL,9
Sooyoung,SNSD,10
Sua,Dreamcatcher,11
Suzy,Miss A,12
Nana ,After School/Orange Caramel,13
Hani,EXID,14
Song Ji Eun,soloist,15
Jiu,Dreamcatcher,16
Sunmi,soloist,17
Hyolyn,soloist,18
Choa,soloist,19
Eunji,Apink,20
Yoohyeon,Dreamcatcher,1
Eunha,VIVIZ,2
J,STAYC,3
Dami,Dreamcatcher,4
Monday,Weeekly,5
Ryujin,ITZY,6
Jiyoon,Weeekly,7
Chaeryeong,ITZY,8
Jihan,Weeekly,9
Umji,VIVIZ,10
Gahyeon,Dreamcatcher,11
Yuna,ITZY,12
JiU,Dreamcatcher,13
Sumin,STAYC,14
Jaehee,Weeekly,15
Sieun,STAYC,16
SuA,Dreamcatcher,17
Handong,Dreamcatcher,18
Eunbi,soloist,19
Siyeon,Dreamcatcher,20
Arin,OH MY GIRL,1
Aurora,Nature,2
Doyeon,Weki Meki,3
Eunbi,soloist,4
Gahyeon,Dreamcatcher,5
Haru,Nature,6
Isa,StayC,7
Jeongyeon,TWICE,8
Jisoo,Lovelyz,9
Jisun,fromis_9,10
Juri,Rocket Punch,11
Luda,WJSN,12
Mijoo ,Lovelyz,13
Minju,soloist,14
Miso,Dreamnote,15
Monday,Weeekly,16
Ningning,aespa,17
Yeji,ITZY,18
Yooa,OH MY GIRL,19
Youha,soloist,20
Miyeon,(G)I-DLE,1
Yoohyeon,Dreamcatcher,2
Handong,Dreamcatcher,3
Eunbi,soloist,4
Karina,aespa,5
Sunmi,soloist,6
Yuna,ITZY,7
Park Jieun,Purple Kiss,8
Yuju,soloist,9
Yuki,Purple Kiss,10
Yves,Loona,11
Jo Yuri,soloist,12
Gaeul,IVE,13
Winter,aespa,14
Yeoreum,WJSN,15
Eunseo,WJSN,16
Sujeong,Lovelyz,17
Bomi,Apink,18
Sihyeon,Everglow,19
Yeonhee,Rocket Punch,20
Jiu,Dreamcatcher,1
Heejin,LOONA,2
Eunbi,soloist,7
Hyunjin,LOONA,4
Oliva Hye,LOONA,6
Hitomi,soloist,8
Yoohyeon,Dreamcatcher,3
Gahyeon,Dreamcatcher,5
Jihan,Weeekly,9
Jiyoon,Weeekly,11
Soeun,Weeekly,10
Nayoung,Lightsum,12
Chowon,Lightsum,13
Gyuri,fromis_9,19
Chaeryeong,ITZY,18
Mina,TWICE,14
Sana,TWICE,15
Yeonhee,Rocket Punch,16
Dahyun,Rocket Punch,17
Hyojung,Oh My Girl,20
Siyeon,Dreamcatcher,1
Uji,BESTie,2
JiU,Dreamcatcher,3
Handong,Dreamcatcher,4
Bora,Sistar,5
Bona,WJSN,6
Jessica,SNSD,7
Woohee,Dal Shabet,8
Subin,Dal Shabet,9
Hyoseong,Secret,10
Dami,Dreamcatcher,11
Exy,WJSN,12
Yeonjung,WJSN,13
Chungha,Chungha,14
Wendy,Red Velvet,15
Juri,Rocket Punch,16
Yunkyoung,Rocket Punch,17
Aisha,Everglow,18
Fei,Miss A,19
Kei,Lovelyz,20
IU,soloist,1
JiU,Dreamcatcher,2
Chaeryeong,Itzy,3
Arin,Oh My Girl,4
Luda,WJSN,5
Gyuri,Fromis_9,6
Eunbi,soloist,7
Sunmi,soloist,8
Mijoo,Lovelyz,9
Joy,Red Velvet,10
Chaeyeon,DIA,11
Sooyoung,SNSD,12
Yves,Loona,13
Doyeon,Weki Meki,14
Solbin,Laboum,15
Sihyeon,Everglow,16
Gayoung,Stellar,17
Momo,Twice,18
Ningning,Aespa,19
Yuki,Purple Kiss,20
